vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code_id,store_and_fwd_flag,pu_location_id,do_location_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount,trip_duration_min,avg_speed_mph,fare_per_mile,tip_pct,is_cross_borough,pickup_hour,pickup_day_of_week,time_of_day
1,2019-01-01 00:39:55,2019-01-01 00:49:44,2,1.1,1,N,114,249,1,8.0,0.5,0.5,1.85,0.0,0.3,0.0,11.15,9.816666666666666,6.723259762309,7.2727272727272725,0.23125,False,0,1,night
2,2019-01-01 00:42:52,2019-01-01 01:00:15,1,2.31,1,N,249,170,1,12.5,0.5,0.5,2.0,0.0,0.3,0.0,15.8,17.383333333333333,7.973154362416108,5.411255411255411,0.16,False,0,1,night
1,2019-01-01 01:07:45,2019-01-01 01:39:24,2,6.5,1,N,158,61,1,24.5,0.5,0.5,0.0,0.0,0.3,0.0,25.8,31.65,12.322274881516588,3.769230769230769,0.0,True,1,1,night
1,2019-01-01 01:09:42,2019-01-01 01:11:22,1,0.6,1,N,229,140,1,3.5,0.5,0.5,0.95,0.0,0.3,0.0,5.75,1.6666666666666667,21.599999999999998,5.833333333333334,0.2714285714285714,False,1,1,night
2,2019-01-01 01:23:27,2019-01-01 01:45:45,1,4.83,1,N,263,68,1,18.5,0.5,0.5,3.96,0.0,0.3,0.0,23.76,22.3,12.995515695067263,3.8302277432712213,0.21405405405405406,False,1,1,night
2,2019-01-01 03:11:44,2019-01-01 03:16:51,1,0.77,1,N,148,79,1,5.0,0.5,0.5,1.26,0.0,0.3,0.0,7.56,5.116666666666666,9.029315960912053,6.4935064935064934,0.252,False,3,1,night
1,2019-01-01 03:20:58,2019-01-01 03:34:08,1,2.5,1,N,209,90,2,11.0,0.5,0.5,0.0,0.0,0.3,0.0,12.3,13.166666666666666,11.39240506329114,4.4,,False,3,1,night
2,2019-01-01 03:24:24,2019-01-01 03:31:50,2,1.81,1,N,68,48,1,8.0,0.5,0.5,1.86,0.0,0.3,0.0,11.16,7.433333333333334,14.609865470852018,4.419889502762431,0.2325,False,3,1,night
2,2019-01-01 03:33:22,2019-01-01 03:37:25,1,0.82,1,N,107,79,2,5.0,0.5,0.5,0.0,0.0,0.3,0.0,6.3,4.05,12.148148148148149,6.097560975609756,,False,3,1,night
1,2019-01-01 08:59:32,2019-01-01 09:03:34,1,1.1,1,N,74,168,1,5.5,0.0,0.5,0.0,0.0,0.3,0.0,6.3,4.033333333333333,16.363636363636363,5.0,0.0,True,8,1,morning
1,2019-01-01 09:23:36,2019-01-01 09:55:23,1,18.2,1,N,138,117,1,49.5,0.0,0.5,10.45,2.16,0.3,0.0,62.91,31.783333333333335,34.35762978500262,2.71978021978022,0.2111111111111111,False,9,1,morning
2,2019-01-01 10:58:41,2019-01-01 11:08:15,2,2.05,1,N,161,107,1,9.0,0.0,0.5,1.96,0.0,0.3,0.0,13.71,9.566666666666666,12.857142857142856,4.390243902439025,0.21777777777777776,False,10,1,morning
1,2019-01-01 11:24:14,2019-01-01 11:33:08,2,1.4,1,N,186,246,2,8.0,0.0,0.5,0.0,0.0,0.3,0.0,8.8,8.9,9.43820224719101,5.714285714285714,,False,11,1,morning
2,2019-01-01 11:43:48,2019-01-01 11:54:29,1,1.71,1,N,141,48,2,9.0,0.0,0.5,0.0,0.0,0.3,0.0,9.8,10.683333333333334,9.60374414976599,5.2631578947368425,,False,11,1,morning
2,2019-01-01 15:19:33,2019-01-01 15:32:08,1,3.12,1,N,162,112,2,12.5,0.0,0.5,0.0,5.76,0.3,0.0,19.06,12.583333333333334,14.876821192052981,4.006410256410256,,True,15,1,afternoon
1,2019-01-01 15:41:40,2019-01-01 15:52:57,1,0.9,1,N,162,230,2,8.5,0.0,0.5,0.0,0.0,0.3,0.0,9.3,11.283333333333333,4.7858197932053175,9.444444444444445,,False,15,1,afternoon
2,2019-01-01 17:30:49,2019-01-01 18:00:35,1,3.99,1,N,261,48,2,20.0,0.0,0.5,0.0,0.0,0.3,0.0,20.8,29.766666666666666,8.042553191489363,5.012531328320802,,False,17,1,evening
2,2019-01-01 18:21:04,2019-01-01 18:26:29,3,1.29,1,N,238,75,2,6.5,0.0,0.5,0.0,0.0,0.3,0.0,7.3,5.416666666666667,14.28923076923077,5.038759689922481,,False,18,1,evening
1,2019-01-01 19:05:41,2019-01-01 19:28:16,1,4.1,1,N,237,114,1,17.0,0.0,0.5,3.55,0.0,0.3,0.0,21.35,22.583333333333332,10.892988929889299,4.146341463414634,0.20882352941176469,False,19,1,evening
1,2019-01-01 20:06:35,2019-01-01 20:15:30,3,1.4,1,N,264,264,1,8.0,0.5,0.5,1.85,0.0,0.3,0.0,11.15,8.916666666666666,9.42056074766355,5.714285714285714,0.23125,False,20,1,evening
1,2019-01-01 22:07:29,2019-01-01 22:26:30,1,9.1,1,N,264,264,1,27.5,0.5,0.5,6.9,5.76,0.3,0.0,41.46,19.016666666666666,28.711656441717793,3.021978021978022,0.2509090909090909,False,22,1,night
2,2019-01-01 22:49:30,2019-01-01 23:13:47,1,16.47,2,N,132,56,1,52.0,0.0,0.5,10.56,0.0,0.3,0.0,63.36,24.283333333333335,40.69457789979409,3.15725561627201,0.2030769230769231,False,22,1,night
2,2019-01-01 23:25:18,2019-01-01 23:32:46,3,2.05,1,N,79,186,1,8.5,0.5,0.5,1.27,0.0,0.3,0.0,11.07,7.466666666666667,16.473214285714285,4.146341463414634,0.14941176470588236,False,23,1,night
1,2019-01-02 06:26:55,2019-01-02 07:22:28,6,18.9,2,N,132,249,2,52.0,0.0,0.5,0.0,5.76,0.3,0.0,58.56,55.55,20.414041404140413,2.7513227513227516,,True,6,2,morning
2,2019-01-02 06:33:05,2019-01-02 07:04:08,1,13.5,5,N,153,231,1,38.53,0.0,0.5,0.0,0.0,0.3,0.0,39.33,31.05,26.086956521739133,2.854074074074074,0.0,False,6,2,morning
2,2019-01-02 08:40:33,2019-01-02 08:54:55,2,2.57,1,N,113,246,1,11.5,0.0,0.5,2.0,0.0,0.3,0.0,14.3,14.366666666666667,10.733178654292342,4.474708171206226,0.17391304347826086,False,8,2,morning
2,2019-01-02 08:46:47,2019-01-02 08:52:41,1,0.87,1,N,186,234,1,5.5,0.0,0.5,0.7,0.0,0.3,0.0,7.0,5.9,8.847457627118644,6.32183908045977,0.12727272727272726,False,8,2,morning
2,2019-01-02 08:52:01,2019-01-02 08:58:07,1,0.76,1,N,263,236,1,5.5,0.0,0.5,1.26,0.0,0.3,0.0,7.56,6.1,7.475409836065575,7.2368421052631575,0.2290909090909091,False,8,2,morning
1,2019-01-02 09:41:42,2019-01-02 10:02:04,1,3.4,1,N,141,166,2,15.5,0.0,0.5,0.0,0.0,0.3,0.0,16.3,20.366666666666667,10.016366612111293,4.5588235294117645,,False,9,2,morning
2,2019-01-02 10:06:26,2019-01-02 10:11:35,1,0.86,1,N,100,233,1,5.5,0.0,0.5,1.26,0.0,0.3,0.0,7.56,5.15,10.019417475728154,6.395348837209302,0.2290909090909091,False,10,2,morning
2,2019-01-02 10:37:23,2019-01-02 10:41:58,1,0.82,1,N,113,79,1,5.0,0.0,0.5,1.2,0.0,0.3,0.0,7.0,4.583333333333333,10.734545454545454,6.097560975609756,0.24,False,10,2,morning
2,2019-01-02 11:01:59,2019-01-02 11:07:36,2,1.02,1,N,233,100,2,6.0,0.0,0.5,0.0,0.0,0.3,0.0,6.8,5.616666666666666,10.896142433234422,5.88235294117647,,False,11,2,morning
2,2019-01-02 11:41:41,2019-01-02 11:56:05,1,2.19,1,N,249,161,1,11.0,0.0,0.5,1.0,0.0,0.3,0.0,12.8,14.4,9.124999999999998,5.0228310502283104,0.09090909090909091,False,11,2,morning
1,2019-01-02 12:03:19,2019-01-02 12:05:29,1,0.5,1,N,264,264,2,4.0,0.0,0.5,0.0,0.0,0.3,0.0,4.8,2.1666666666666665,13.846153846153847,8.0,,False,12,2,afternoon
1,2019-01-02 12:39:03,2019-01-02 12:51:18,1,1.4,1,N,90,161,2,9.5,0.0,0.5,0.0,0.0,0.3,0.0,10.3,12.25,6.857142857142857,6.7857142857142865,,False,12,2,afternoon
2,2019-01-02 12:45:36,2019-01-02 12:55:46,3,1.96,1,N,13,249,1,9.0,0.0,0.5,1.96,0.0,0.3,0.0,11.76,10.166666666666666,11.5672131147541,4.591836734693878,0.21777777777777776,False,12,2,afternoon
