location_id,borough,zone,service_zone,centroid_lat,centroid_lon
1,EWR,Newark Airport,EWR,40.691831206401496,-74.17400027276294
2,Queens,Jamaica Bay,Boro Zone,40.616745291659804,-73.83129854302193
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.86447368477547,-73.84742223236717
4,Manhattan,Alphabet City,Yellow Zone,40.723752141584804,-73.97696825691767
5,Staten Island,Arden Heights,Boro Zone,40.55265928694566,-74.18848410184928
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.60032414603462,-74.0717705589513
7,Queens,Astoria,Boro Zone,40.761492562163745,-73.9196943194607
8,Queens,Astoria Park,Boro Zone,40.778558653750714,-73.92308615750753
9,Queens,Auburndale,Boro Zone,40.75103502557235,-73.78794887777896
10,Queens,Baisley Park,Boro Zone,40.678953310115254,-73.79098635986956
11,Brooklyn,Bath Beach,Boro Zone,40.60427284003077,-74.00748815801174
12,Manhattan,Battery Park,Yellow Zone,40.70294583498472,-74.01556351255898
13,Manhattan,Battery Park City,Yellow Zone,40.71203815707448,-74.01607915192925
14,Brooklyn,Bay Ridge,Boro Zone,40.62483492360826,-74.02989237418791
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.783333047260946,-73.78597227877704
16,Queens,Bayside,Boro Zone,40.762738375442396,-73.77342181890137
17,Brooklyn,Bedford,Boro Zone,40.69150749488067,-73.9499050350751
18,Bronx,Bedford Park,Boro Zone,40.86768245607543,-73.89018328872037
19,Queens,Bellerose,Boro Zone,40.73548677976332,-73.726655375287
20,Bronx,Belmont,Boro Zone,40.85777967544156,-73.88586748106962
21,Brooklyn,Bensonhurst East,Boro Zone,40.601429439835144,-73.98353709672226
22,Brooklyn,Bensonhurst West,Boro Zone,40.61221825780564,-73.99525857986235
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.60644770102762,-74.17088688155258
24,Manhattan,Bloomingdale,Yellow Zone,40.80197049389963,-73.96547951516966
